Prospect,Sector,HQ Region,Employees (band),Tech Signals,Likely Pain Point,Solution Fit Rationale,ICP Score (0–100),First-Touch Angle,Next Action
Datadog,Observability,NA,5k–10k,"Cloud-native, integrations",Alert fatigue,Embed LLM triage over telemetry,86,Share AIOps triage demo,Intro via partner
ServiceNow,Workflow,NA,10k+,Platform workflow apps,Process backlog,LLM copilots for intake/routing,82,Showcase ticket summarization,Multi-thread outreach
Stripe,Fintech,NA,5k–10k,Developer-first,Risk/ops scale,Graph-RAG for risk ops,78,Payment ops insights brief,Warm intro via investor
Snowflake,Data Cloud,NA,6k–10k,Data marketplace,Data-product gap,RAG blueprints on Marketplace,80,Data-product accelerator deck,Exec briefing request
Illumina,Genomics,NA,5k–10k,Sequencing platforms,Analytics bottlenecks,Single-cell + LLM knowledge base,76,Omics insights cockpit,Invite to discovery call
Bytedance (TikTok),Social,APAC,10k+,At-scale content,Moderation pressure,Eval/safety taxonomy mapping,70,Safety eval workshop,Reach via LinkedIn
Siemens Healthineers,MedTech,EU,10k+,Imaging systems,Workflow latency,Imaging-report copilot,74,Radiology copilot demo,Local partner intro
TotalEnergies,Energy,EU,10k+,Transition reports,Scenario alignment,Graph scenarios + planning,72,Scenario planning session,Send case study
HSBC,Banking,EU/NA,10k+,Global banking,Model governance,AI model registry + audits,77,Governance starter kit,BDR email + call
Natera,Biotech,NA,2k–5k,cfDNA testing,Data harmonization,RAG over assay docs,71,Lab documentation pilot,Outbound SDR
